# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9015723608370314,0.5202858482640057,14.575340793087753,0,3.0,-0.45733895283796305,180.0,0.0,0.08849426296377758
 0.08029923543718316,1.9109330447509838,0.5227198222332522,14.575340793087753,0.24089770631154953,3.0000000000000004,-0.45733895283796305,-179.99289397834346,-7.560800732331002,0.6288848232918458
 0.11419565344083625,1.9205148478380667,0.5251655874984873,14.319056731022334,0.3425869603225088,3.0,-0.4261340724561164,-179.971577035497,-9.233141652038938,1.3438455564722096
 0.14063060920853823,1.9303159756901997,0.5276229109716513,14.074979039853758,0.4218918276256147,2.9999999999999996,-0.39782360152581786,-179.93605253765304,-10.28270027241426,2.1968265351293113
 0.16326618935849313,1.9403346338993008,0.5300915595646838,13.842224153679561,0.48979856807547945,3.0000000000000013,-0.3720787082465894,-179.88632609454157,-10.977443527334303,3.1574166859251163
 0.1835107571034098,1.9505690280572887,0.532571300189525,13.619990554524446,0.5505322713102295,3.0000000000000027,-0.3486143459531225,-179.82240555854443,-11.439576535159755,4.205792218221321
 0.20208146412759392,1.9610173637560835,0.5350618997581149,13.407549530209263,0.6062443923827819,3.000000000000003,-0.3271826216054344,-179.74430102345525,-11.738743097755885,5.327794497210758
 0.21940123887078963,1.9716778465876028,0.5375631251823935,13.204237143987887,0.6582037166123691,3.0000000000000018,-0.30756728291645274,-179.65202482288552,-11.919328709268402,6.512726642849057
 0.2357435944470601,1.9825486821437663,0.5400747433743006,13.009447235990574,0.7072307833411805,2.9999999999999982,-0.28957911705321804,-179.54559152831703,-12.011589201110823,7.752196606094315
 0.25129706756479486,1.9936280760164926,0.5425965212457764,12.822625306249824,0.7538912026943847,2.9999999999999964,-0.27305209625395155,-179.42501794680075,-12.037086876386647,9.039439624087215
 0.2661978616515018,2.0049142337977,0.5451282257087607,12.643263153300985,0.7985935849545054,2.9999999999999964,-0.25784013616810475,-179.290323118303,-12.011676215385394,10.368889545758305
 0.2805479813000691,2.016405361079309,0.5476696236751936,12.470894162430355,0.8416439439002072,2.999999999999996,-0.24381436090629563,-179.1415283126986,-11.94728461738719,11.735891655625299
 0.2944260308821189,2.028099663453237,0.550220482057015,12.305089154139395,0.8832780926463566,2.999999999999996,-0.23086078735138738,-178.97865702641226,-11.853041208001924,13.13650167042455
 0.30789400372168196,2.039995346511403,0.5527805677661648,12.145452717083803,0.9236820111650458,2.999999999999996,-0.21887835749889745,-178.8017349787081,-11.736026539092936,14.56734010703404
 0.3210017412823234,2.052090615845726,0.5553496477145832,11.991619961204648,0.96300522384697,2.9999999999999916,-0.20777726225305865,-178.6107901076285,-11.601789075102019,16.025483791329723
 0.3337899693767155,2.064383677048126,0.55792748881421,11.843253636209218,1.0013699081301464,3.0000000000000044,-0.19747750829317035,-178.405852565582,-11.454711603928569,17.508383168954182
 0.34629242884926864,2.07687273571052,0.5605138579769853,11.700041568611317,1.0388772865478058,3.0,-0.18790768978291109,-178.1869547145822,-11.298277476676756,19.013798070699437
 0.3585374097089103,2.089555997424828,0.563108522114849,11.561694377162489,1.0756122291267307,3.0,-0.17900393180740073,-177.9541311211374,-11.135267922073439,20.539747004747408
 0.3705488804582064,2.1024316677829686,0.565711248139741,11.42794343223093,1.1116466413746189,2.9999999999999907,-0.17070898031520756,-177.70741855079194,-10.967910727398468,22.08446657296467
 0.38234733561266737,2.115497952376861,0.5683218029636015,11.298539029375586,1.147042006838002,3.0000000000000187,-0.16297141483218583,-177.44685596232063,-10.797993852141394,23.646378601694224
 0.3939504425985364,2.128753056798424,0.5709399534983702,11.173248751476432,1.181851327795609,2.999999999999995,-0.15574496661015122,-177.1724845015768,-10.626953295460591,25.224063243299163
 0.40537354298497813,2.1421951866395754,0.5735654666559873,11.05185599718036,1.2161206289549342,2.999999999999995,-0.14898792630797386,-176.88434749499464,-10.45594175793336,26.816236762086294
 0.4166300460851337,2.1558225474922357,0.5761981093483927,10.934158656367137,1.249890138255401,3.0000000000000098,-0.14266262770491395,-176.5824904427477,-10.285882779019383,28.42173304011416
 0.42773174177478573,2.169633344948323,0.5788376484875265,10.819967915855031,1.2831952253243573,3.00000000000001,-0.1367349978079116,-176.26696101156384,-10.117513761551129,30.039488068301313
 0.4386890518200685,2.183625784599756,0.5814838509853283,10.7091071806823,1.3160671554602055,2.99999999999999,-0.13117416262868456,-175.9378090271979,-9.951420397165737,31.668526856413646
 0.4495112337986612,2.197798072038454,0.5841364837537385,10.601411098198694,1.3485337013959835,2.9999999999999947,-0.12595210225382167,-175.59508646656383,-9.788064385330907,33.307952319774664
 0.46020654804724603,2.212148412856336,0.586795313704697,10.496724673712198,1.380619644141738,3.0,-0.12104334704087738,-175.23884744952696,-9.62780586631866,34.956935793816406
 0.47078239546561657,2.22667501264532,0.5894601077501435,10.394902467896319,1.4123471863968495,2.9999999999999947,-0.11642471077895084,-174.86914823035778,-9.470921668480981,36.614708898647656
 0.48124543212581633,2.2413760769973257,0.5921306328020182,10.295807867273123,1.4437362963774487,2.9999999999999893,-0.11207505512199026,-174.4860471888487,-9.317620211326599,38.280556530324574
 0.49160166525527915,2.2562498115042717,0.5948066557722611,10.199312420152829,1.4748049957658371,2.9999999999999947,-0.10797508124497296,-174.08960482109507,-9.168053722802703,39.95381079797881
